Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid,taxa_atendimentos_dengue,taxa_atendimentos_saude,taxa_unidades_saude,preds
CAPÃO RASO,40.54,0.8356023845833911,0.7269097462914182,41.45,1583.19,1020.0,0.0663056859569429,0.0058228199084985,0.4170802717315957,0.003632330514349,0.0,0.0001386385692499,0.38555549671110856
CASCATINHA,9.9,0.8759833410458121,0.7283664969921333,43.87,3062.88,1500.0,0.5308242326185073,0.0055529847292919,0.4243405830633965,0.0023137436372049,0.5802869042110134,0.0,0.424340583063397
CAXIMBA,3.07,0.7422680412371134,0.6657414750198255,18.4,896.94,700.0,0.337817568219384,0.0043616177636796,0.58406026962728,0.0150674068199841,2.5388580491673274,0.000396510705789,0.5840602696272797
CENTRO,113.56,0.837298500657136,0.7885363302309364,176.44,3089.91,2000.0,0.0898706875971639,0.0059812783306064,0.3818094037496982,0.0043987876512083,0.4938980232277445,0.000295040635142,0.38180940374969885
CENTRO CÍVICO,50.5,0.9004808697470207,0.7413757056240853,166.59,3979.43,2600.0,0.2222855459843437,0.0068994355007317,0.3568889818105791,0.0027179594396822,0.0,0.0002090738030524,0.35688898181057815
CIDADE INDUSTRIAL DE CURITIBA,38.97,0.7059633611461503,0.716558077096666,20.17,1137.65,850.0,0.2106627917024585,0.0049588594044739,0.3674995081644698,0.0171968846558887,0.0,0.0001215123074608,0.37102668191154664
CRISTO REI,95.34,0.8969191736136282,0.7913011960855383,91.3,3711.95,2500.0,0.1605560063662577,0.0036245016310257,0.3253352664008699,0.0044943820224719,0.182964842334179,0.000144980065241,0.3253352664008701
FANNY,41.69,0.8471776589423649,0.736660724896019,52.93,1844.16,1200.0,0.075490662811759,0.0053475935828877,0.3689839572192513,0.0046345811051693,0.536660724896019,0.0,0.3689839572192505
FAZENDINHA,75.39,0.7596352496972287,0.7271496758566646,29.28,1379.68,1000.0,0.1152055782671629,0.0045949989313955,0.3420602692883094,0.015387903398162,0.6805941440478734,0.00014248058702,0.34206026928831
GANCHINHO,9.84,0.6143317230273752,0.6670245124351405,11.1,949.09,750.0,0.4372481275989666,0.0068885310431204,0.4758454106280193,0.0073358382537126,1.3627661477903024,8.946144211844694e-05,0.47584541062801883
