Localidade,populacao_por_hectare,porcentagem_brancos,porcentagem_adultos,indiceEnvelhecimento,rendaMedianacRendimento,porcentagem_cobertura,taxa_obitos_covid,taxa_atendimentos_covid
BOM RETIRO,27.16,0.9045771916214119,0.7090768037238169,121.89,1800.0,0.22403748054111391,426.68735453840185,35880.52754072924
BOQUEIRÃO,49.63,0.8027685916532291,0.7224848998332832,34.72,1000.0,0.12459897690028054,569.8433955560414,35389.05135423215
BUTIATUVINHA,12.33,0.8553122087604846,0.7188567878223051,33.48,1000.0,0.4528840217868429,450.45045045045043,31585.896241068654
CABRAL,64.44,0.9160030627871363,0.7552067381316998,71.24,3000.0,0.21199767961253096,359.87748851454825,27901.99081163859
CACHOEIRA,28.91,0.7156968005153532,0.695834228043805,24.97,800.0,0.4696969482570187,375.7783981103715,42044.23448572042
CAJURU,81.57,0.7054469854469855,0.7114241164241164,30.16,900.0,0.08478846764136741,577.9625779625779,34304.5738045738
CAMPINA DO SIQUEIRA,43.16,0.9104559104559105,0.7409227409227409,68.86,1900.0,0.15767784349719113,450.45045045045043,29292.929292929293
CAMPO COMPRIDO,33.8,0.8191282620766241,0.7405607995558023,22.67,1200.0,0.42073851039123056,416.43531371460296,37871.32148806219
CAMPO DE SANTANA,12.59,0.6543497017668904,0.6908129196833852,8.3,800.0,0.30933182354465094,551.4499005889635,52087.63176651536
CAPÃO DA IMBUIA,110.99,0.8150246666341034,0.7282762663019586,56.84,1100.0,0.08958099234672279,507.98612807111806,31719.826112440773
CAPÃO RASO,40.54,0.8356023845833911,0.7269097462914182,41.45,1020.0,0.06630568595694294,582.2819908498544,41708.02717315957
CASCATINHA,9.9,0.8759833410458121,0.7283664969921333,43.87,1500.0,0.5308242326185073,555.2984729291994,42434.058306339655
CAXIMBA,3.07,0.7422680412371134,0.6657414750198255,18.4,700.0,0.337817568219384,436.1617763679619,58406.026962728
CENTRO,113.56,0.837298500657136,0.7885363302309364,176.44,2000.0,0.08987068759716395,598.1278330606443,38180.940374969825
CENTRO CÍVICO,50.5,0.9004808697470207,0.7413757056240853,166.59,2600.0,0.2222855459843437,689.9435500731757,35688.89818105791
CIDADE INDUSTRIAL DE CURITIBA,38.97,0.7059633611461503,0.716558077096666,20.17,850.0,0.21066279170245855,495.88594044739676,36749.95081644698
CRISTO REI,95.34,0.8969191736136282,0.7913011960855383,91.3,2500.0,0.1605560063662577,362.4501631025734,32533.52664008699
FANNY,41.69,0.8471776589423649,0.736660724896019,52.93,1200.0,0.07549066281175902,534.75935828877,36898.39572192513
FAZENDINHA,75.39,0.7596352496972287,0.7271496758566646,29.28,1000.0,0.11520557826716295,459.49989313955973,34206.02692883094
GANCHINHO,9.84,0.6143317230273752,0.6670245124351405,11.1,750.0,0.43724812759896664,688.8531043120415,47584.54106280193
GUABIROTUBA,43.18,0.840502573946427,0.7120670098595236,68.88,1500.0,0.13225687479974263,523.5145275281388,30581.973649768777
GUAÍRA,64.48,0.7811996779388084,0.7163848631239935,44.51,1021.0,0.0923716455174582,476.38217928073004,38741.277509393454
HAUER,33.37,0.8413819001126549,0.7285767930904994,58.23,1200.0,0.11110736861517943,705.9707097258731,46481.41194141945
HUGO LANGE,28.64,0.9295400943396226,0.6933962264150944,119.41,2500.0,0.22961813962980507,589.6226415094341,30188.679245283016
JARDIM BOTÂNICO,22.39,0.8067077122488658,0.7193778353856124,101.86,1500.0,0.22287557978269434,745.301360985094,30265.716137394687
JARDIM DAS AMÉRICAS,39.68,0.8566577417880232,0.7366290080323907,71.91,2000.0,0.131237354274037,483.24952654607193,26513.419969960167
JARDIM SOCIAL,29.1,0.9338364338364339,0.6783081783081784,136.52,3000.0,0.23325260616475638,351.00035100035103,31818.181818181816
JUVEVÊ,94.0,0.9247107580728717,0.732602313935417,122.81,3000.0,0.14318603103824462,578.4838542566051,28811.949576929717
LAMENHA PEQUENA,3.01,0.7471590909090909,0.6770833333333334,25.83,800.0,0.6027278588935499,189.3939393939394,23011.363636363636
LINDÓIA,72.63,0.7741146318732526,0.7192451071761417,39.87,1000.0,0.08142462241612675,547.5302889095992,42555.91798695247
MERCÊS,35.92,0.9112884481289223,0.721623925001937,113.36,1800.0,0.31655202180061415,395.1344231812195,34051.28999767568
MOSSUNGUÊ,28.72,0.8947640728476821,0.7438948675496688,24.75,2500.0,0.3964805174923272,413.907284768212,48002.89735099338
NOVO MUNDO,74.07,0.8184644713251481,0.7343349295327145,41.6,1100.0,0.08005622168576428,628.6453487052629,39536.57263463677
ORLEANS,15.82,0.8322023442319556,0.7232572486119679,38.97,1150.0,0.3966072985792948,333.1276989512647,31091.9185687847
PAROLIN,51.16,0.711874675437078,0.6731002250302925,38.1,1000.0,0.07470795412187813,432.75056257573135,25696.728405746926
PILARZINHO,40.09,0.7945926966292135,0.7213483146067415,41.71,1000.0,0.3315542507923458,505.61797752808985,35835.67415730337
PINHEIRINHO,47.94,0.7602825340767049,0.719707942302732,23.91,900.0,0.17631216385621062,565.4649709331164,38038.927799051606
PORTÃO,72.82,0.8710796493366462,0.7506914818808307,60.23,1750.0,0.12338645358647894,398.4810838685481,33034.08185270264
PRADO VELHO,24.97,0.58630903406286,0.6908013822609841,35.67,700.0,0.15312697173813694,329.1097581043278,31594.53677801547
REBOUÇAS,50.19,0.8449086512627619,0.7753895754970446,116.3,1800.0,0.10649497840793316,557.4959699086513,43001.07469102633
RIVIERA,1.19,0.7197231833910035,0.7301038062283737,34.48,800.0,0.5520922603787444,346.02076124567475,32179.93079584775
SANTA CÂNDIDA,32.19,0.7733174835405998,0.726072909046574,29.72,1000.0,0.3817417653981191,612.6554498902707,45738.84418434528
SANTA FELICIDADE,25.93,0.8670974281008489,0.7274800456100342,37.14,1200.0,0.33302963973944394,522.6149752945648,41220.06841505131
SANTA QUITÉRIA,57.39,0.8067908902691512,0.7079089026915114,67.24,1100.0,0.13879799672071585,447.20496894409933,42964.8033126294
SANTO INÁCIO,19.34,0.8518632583923622,0.7391438250692948,42.47,1200.0,0.372321504873945,431.1672312904219,38635.663689559595
SÃO BRAZ,46.56,0.8337365762553589,0.7253279001655418,37.92,1000.0,0.15319371506173068,594.2527271955515,37195.97606010442
SÃO FRANCISCO,45.26,0.8897226753670473,0.7536704730831973,134.11,1800.0,0.15950722941916542,685.1549755301794,37862.96900489397
SÃO JOÃO,10.71,0.8060252075007686,0.7233323086381801,36.78,1000.0,0.6037655967148058,430.37196434060866,37934.214571165074
SÃO LOURENÇO,27.59,0.8972275334608031,0.7275334608030593,68.97,2000.0,0.3191084350659621,446.1440407903123,28855.9592096877
SÃO MIGUEL,6.33,0.6748376283260005,0.6813324952859836,11.59,700.0,0.34555229587971964,230.46302116069558,17284.72658705217
SEMINÁRIO,32.26,0.9181141439205955,0.7244197927309882,124.49,2000.0,0.22633431576570495,467.0850970661217,30550.284629981023
SÍTIO CERCADO,103.15,0.693893096732309,0.7177061242155378,17.14,800.0,0.07332333085753798,489.9372430209911,34920.57996104739
TABOÃO,18.58,0.8124263839811543,0.7258539458186102,32.43,1000.0,0.47009442496332043,294.4640753828033,28592.4617196702
TARUMÃ,19.36,0.8396927651139743,0.7324083250743311,75.47,1960.0,0.15696554491409775,371.6551040634291,22522.299306243807
TATUQUARA,46.53,0.6505494505494506,0.6785714285714286,10.22,750.0,0.2698870653545902,490.71618037135283,38673.7400530504
TINGUI,57.26,0.8602159266174202,0.7325269908271775,54.4,1200.0,0.14799846535435743,600.6981086127121,38257.97548502313
UBERABA,50.71,0.7575496835794382,0.7121128011546575,25.46,1000.0,0.14134026720790663,474.63084267791714,36024.758521150216
UMBARÁ,8.34,0.7636412172984517,0.6990923651895355,16.35,850.0,0.41273868037573397,480.51254671649764,38136.67912439936
VILA IZABEL,95.44,0.909130060292851,0.761068044788975,75.57,2181.5,0.1644784596059906,534.0223944875107,40585.70198105082
VISTA ALEGRE,30.28,0.8651665327261363,0.7090811679614252,55.81,1500.0,0.33293405278998095,410.7509599071346,34503.0806321993
XAXIM,62.94,0.8041866321569725,0.7239341051379805,31.57,1000.0,0.10745353482065029,496.6597880451891,37994.47378545696
