areasVerdesM2,popHabPHa,popTotal,popHomens,popBrancos,porcentagem_brancos,pop15a64,porcentagem_adultos,indiceEnvelhecimento,rendaMediacRendimento,rendaMedianacRendimento,area,area_verde,porcentagem_cobertura
627450.04,97.83,28336,12813,26269,0.927053924336533,21953,0.7747388481084133,99.91,4952.38,3000.0,2896537.729721455,627450.04,0.21662070324916455
944126.75,59.44,31052,14436,26368,0.8491562540255057,22941,0.7387929923998454,61.61,2174.57,1400.0,5223707.633397333,944126.75,0.180738819294519
425268.56,27.16,5156,2373,4664,0.9045771916214119,3656,0.7090768037238169,121.89,2934.14,1800.0,1898202.7425627895,425268.56,0.22403748054111391
1837080.92,49.63,73178,35120,58745,0.8027685916532291,52870,0.7224848998332832,34.72,1602.85,1000.0,14743948.671988362,1837080.92,0.12459897690028054
4727639.17,12.33,12876,6274,11013,0.8553122087604846,9256,0.7188567878223051,33.48,1771.74,1000.0,10438962.168166619,4727639.17,0.4528840217868429
429632.6,64.44,13060,5941,11963,0.9160030627871363,9863,0.7552067381316998,71.24,4669.13,3000.0,2026591.0494173393,429632.6,0.21199767961253096
1513181.02,28.91,9314,4562,6666,0.7156968005153532,6481,0.695834228043805,24.97,1172.91,800.0,3221611.3509257585,1513181.02,0.4696969482570187
999982.07,81.57,96200,46252,67864,0.7054469854469855,68439,0.7114241164241164,30.16,1275.31,900.0,11793845.293084636,999982.07,0.08478846764136741
267661.56,43.16,7326,3383,6670,0.9104559104559105,5428,0.7409227409227409,68.86,3083.02,1900.0,1697521.6940024178,267661.56,0.15767784349719113
3605658.78,33.8,28816,13686,23604,0.8191282620766241,21340,0.7405607995558023,22.67,2486.19,1200.0,8569833.022052627,3605658.78,0.42073851039123056
6675209.47,12.59,26657,13194,17443,0.6543497017668904,18415,0.6908129196833852,8.3,948.02,800.0,21579446.283632882,6675209.47,0.30933182354465094
291073.85,110.99,20473,9613,16686,0.8150246666341034,14910,0.7282762663019586,56.84,1766.95,1100.0,3249281.3751537837,291073.85,0.08958099234672279
334833.1,40.54,36065,17237,30136,0.8356023845833911,26216,0.7269097462914182,41.45,1583.19,1020.0,5049839.921985442,334833.1,0.06630568595694294
1158333.5,9.9,2161,1017,1893,0.8759833410458121,1574,0.7283664969921333,43.87,3062.88,1500.0,2182141.3357224613,1158333.5,0.5308242326185073
2775247.55,3.07,2522,1275,1872,0.7422680412371134,1679,0.6657414750198255,18.4,896.94,700.0,8215225.645688476,2775247.55,0.337817568219384
295045.6,113.56,37283,16925,31217,0.837298500657136,29399,0.7885363302309364,176.44,3089.91,2000.0,3283001.475659242,295045.6,0.08987068759716395
210548.21,50.5,4783,2083,4307,0.9004808697470207,3546,0.7413757056240853,166.59,3979.43,2600.0,947197.0346413329,210548.21,0.2222855459843437
9335016.35,38.97,172822,83753,122006,0.7059633611461503,123837,0.716558077096666,20.17,1137.65,850.0,44312601.54942234,9335016.35,0.21066279170245855
232323.28,95.34,13795,6285,12373,0.8969191736136282,10916,0.7913011960855383,91.3,3711.95,2500.0,1446992.1447225586,232323.28,0.1605560063662577
152364.38,41.69,8415,3992,7129,0.8471776589423649,6199,0.736660724896019,52.93,1844.16,1200.0,2018320.8667796534,152364.38,0.07549066281175902
428988.88,75.39,28074,13549,21326,0.7596352496972287,20414,0.7271496758566646,29.28,1379.68,1000.0,3723681.495744679,428988.88,0.11520557826716295
4966833.6,9.84,11178,5520,6867,0.6143317230273752,7456,0.6670245124351405,11.1,949.09,750.0,11359302.159334708,4966833.6,0.43724812759896664
351066.77,43.18,11461,5423,9633,0.840502573946427,8161,0.7120670098595236,68.88,2488.2,1500.0,2654431.163079949,351066.77,0.13225687479974263
213507.6,64.48,14904,7173,11643,0.7811996779388084,10677,0.7163848631239935,44.51,1696.24,1021.0,2311397.6026295554,213507.6,0.0923716455174582
443322.62,33.37,13315,6227,11203,0.8413819001126549,9701,0.7285767930904994,58.23,1869.35,1200.0,3990037.974307975,443322.62,0.11110736861517943
271921.74,28.64,3392,1566,3153,0.9295400943396226,2352,0.6933962264150944,119.41,4391.36,2500.0,1184234.5750139672,271921.74,0.22961813962980507
